name,percussion,name group,instrument,pitch,sustained,lowlevel.spectral_centroid.mean,lowlevel.spectral_centroid.max,lowlevel.spectral_centroid.min,lowlevel.spectral_centroid.stdev,lowlevel.spectral_flux.max,lowlevel.spectral_flux.mean,lowlevel.spectral_flux.min,lowlevel.spectral_flux.stdev,lowlevel.spectral_rms.max,lowlevel.spectral_rms.mean,lowlevel.spectral_rms.min,lowlevel.spectral_rms.stdev,lowlevel.spectral_spread.max,lowlevel.spectral_spread.mean,lowlevel.spectral_spread.min,lowlevel.spectral_spread.stdev,lowlevel.zerocrossingrate.max,lowlevel.zerocrossingrate.mean,lowlevel.zerocrossingrate.min,lowlevel.zerocrossingrate.stdev,lowlevel.barkbands_flatness_db.max,lowlevel.barkbands_flatness_db.mean,lowlevel.barkbands_flatness_db.min,lowlevel.barkbands_flatness_db.stdev,lowlevel.erbbands_flatness_db.max,lowlevel.erbbands_flatness_db.mean,lowlevel.erbbands_flatness_db.min,lowlevel.erbbands_flatness_db.stdev,lowlevel.melbands_flatness_db.max,lowlevel.melbands_flatness_db.mean,lowlevel.melbands_flatness_db.stdev,lowlevel.melbands_flatness_db.min,centroid,effectiveduration,logattacktime.logpoint1,logattacktime.logpoint2,logattacktime.logpoint3,logattacktime.decimalpoint1,logattacktime.decimalpoint2,logattacktime.decimalpoint3
clsb_gref_mf_sol5_12,nonpercussive,string,clsb,high,sustained,2045.5634765625,3649.28735351562,681.761962890625,348.222930908203,0.080547101795673,0.002874296158552,0.000142614677316,0.004136660601944,0.010485257022083,0.003798197489232,9.52065965975635E-06,0.002472281455994,15221007,2480260.25,734360.4375,2087323.875,0.106153845787048,0.066974177956581,0,0.012765916995704,0.743902862071991,0.550909757614136,0.081033684313297,0.134800493717194,0.687491238117218,0.506198704242706,0.034118782728911,0.152989208698273,0.741985499858856,0.57614004611969,0.113008543848991,0.188466742634773,0.459610462188721,6.75945568084717,-0.596229910850525,0.514535129070282,0.767913818359375,0.253378691571012,3.26990495265054,5.86021862467747
fltu_gref_mf_sol3_12,nonpercussive,wind,fltu,high,sustained,627.670043945313,2687.2998046875,401.151947021484,189.128311157227,0.032480549067259,0.004854667931795,0.000245932606049,0.00375701719895,0.009019036777318,0.006619120482355,6.8091981120233E-06,0.003096381900832,10478036,1934022.5,742533.125,1895784.25,0.102307692170143,0.030041282996535,0.017692307010293,0.013730327598751,0.518841862678528,0.389247685670853,0.041604816913605,0.092333018779755,0.500316858291626,0.383195459842682,0.04309643059969,0.100683592259884,0.591779589653015,0.454070955514908,0.07793091237545,0.118722438812256,0.515078783035278,7.67371892929077,0.561028361320496,0.285578221082687,3.92496609687805,3.6393880213948,1.93009293527317,8413.29460845931
fltu_gref_mf_sol4_12,nonpercussive,wind,fltu,high,sustained,870.175598144531,1865.6953125,341.425994873047,129.874740600586,0.077308692038059,0.003302780678496,0.000152228196384,0.005287792533636,0.00941201671958,0.006793503649533,1.15288082724874E-06,0.003327333834022,11636797,2119514.75,565449.625,2128822,0.110769227147102,0.036954313516617,0.009999999776483,0.007702292408794,0.613166630268097,0.506959855556488,0.05488907545805,0.133908241987228,0.615456938743591,0.503306925296783,0.043417163193226,0.159610584378243,0.650728046894074,0.557090401649475,0.112544253468513,0.152222454547882,0.49502232670784,7.59716558456421,-1.27097463607788,0.371156454086304,0.424739241600037,0.053582795033909,2.35047942584765,2.65912799100598
fltu_gref_mf_sol5_12,nonpercussive,wind,fltu,high,sustained,1563.85046386719,5554.1689453125,508.3359375,251.132781982422,0.122219726443291,0.003604459576309,8.22479923954234E-05,0.006851555313915,0.011646411381662,0.005845137871802,4.29300598625559E-06,0.003278167452663,16555825,2316770.5,388113.1875,2472856.75,0.496923089027405,0.071764647960663,0.000769230769947,0.036117937415838,0.667827665805817,0.518954277038574,0.069124177098274,0.14195704460144,0.698569178581238,0.545440375804901,0.038953647017479,0.182622075080872,0.696104288101196,0.55261242389679,0.120131969451904,0.074298538267613,0.500985443592072,7.63433122634888,-1.47919428348541,0.485351473093033,0.518526077270508,0.033174601635942,3.05739445150254,3.3000922276405
gui_gref_a_mf_sol2_12,nonpercussive,string,gui,high,not sustained,492.288543701172,2085.95434570312,229.503341674805,224.441864013672,0.328838795423508,0.005544167943299,5.5630302085774E-05,0.022489752620459,0.019267046824098,0.001493261544965,4.46409239884815E-06,0.003330490551889,15137723,2499998.25,257776.640625,2500927,0.215384617447853,0.025684548541904,0.000769230769947,0.021938137710095,0.502356112003326,0.357181876897812,0.044991984963417,0.088899500668049,0.528816640377045,0.338154673576355,0.050951965153217,0.130610242486,0.600653290748596,0.466806799173355,0.091822676360607,0.101698637008667,0.323299527168274,1.70185935497284,-1.00764989852905,0.311201810836792,0.4094557762146,0.098253968684819,2.04739581315731,2.56717678167696
gui_gref_b_mf_sol3_12,nonpercussive,string,gui,high,not sustained,592.275329589844,3113.19921875,391.683990478516,490.972412109375,0.373071610927582,0.003952603787184,6.18238118477166E-05,0.020921198651195,0.017815804108977,0.00171626068186,1.12752374548109E-07,0.003334269393235,35207840,3048900.75,227905.28125,3289415.25,0.157692313194275,0.022562859579921,0,0.017471790313721,0.66296249628067,0.4630047082901,0.058205679059029,0.142510592937469,0.605157434940338,0.413741707801819,0.03847823664546,0.164650067687035,0.746189117431641,0.561395823955536,0.142895057797432,0.137774124741554,0.337454050779343,1.78399097919464,-1.31626307964325,0.312789112329483,0.361065745353699,0.048276627137386,2.05489252497994,2.29649627521437
gui_gref_d_mf_sol2_12,nonpercussive,string,gui,high,not sustained,537.637023925781,1822.94677734375,300.387878417969,159.675888061523,0.20515763759613,0.003417209489271,6.52223607175983E-05,0.013688953593373,0.015534231439233,0.001443790155463,1.0046655916085E-06,0.002930519171059,20737526,2645732,216894.46875,2723933.25,0.061538461595774,0.022325677797198,0.001538461539894,0.009184115566313,0.546130537986755,0.380628913640976,0.100712910294533,0.104811936616898,0.533925414085388,0.356431066989899,0.053266305476427,0.140365496277809,0.624373435974121,0.480949521064758,0.108964458107948,0.194859445095062,0.299766391515732,1.85047614574432,-0.917222678661346,0.399591833353043,0.520589590072632,0.12099775747257,2.50952677311504,3.31580964184944
gui_gref_d_mf_sol3_12,nonpercussive,string,gui,high,not sustained,463.143920898438,1843.6376953125,318.5283203125,196.801300048828,0.31959930062294,0.004272954072803,3.95444913010579E-05,0.020759766921401,0.015988767147064,0.001540802768432,1.33510496880263E-07,0.00312874186784,26456104,2930784.25,255805.375,2992246.5,0.156153842806816,0.020168447867036,0,0.016600664705038,0.671968579292297,0.458293855190277,0.046574268490076,0.13716071844101,0.613678216934204,0.412360846996307,0.071512915194035,0.152368858456612,0.764421284198761,0.555155396461487,0.141251996159554,0.113710574805737,0.358927577733994,1.6975964307785,-1.36499977111816,0.209115639328957,0.252267569303513,0.043151930424697,1.61851094020132,1.78758857092111
gui_gref_el_mf_sol1_12,nonpercussive,string,gui,low,not sustained,288.268493652344,1538.37353515625,155.438858032227,136.514266967773,0.195183888077736,0.006682883016765,0.000404419959523,0.015224961563945,0.013441003859043,0.002434160327539,2.64904138020938E-05,0.002916475990787,7714921,1275435.75,192798.234375,1436238.375,0.046923078596592,0.008557451888919,0,0.005703365895897,0.589356005191803,0.454896837472916,0.182398453354835,0.056176856160164,0.451933681964874,0.35704442858696,0.060937281697989,0.08123179525137,0.673551321029663,0.599771320819855,0.067865960299969,0.267324417829514,0.346415430307388,1.95834469795227,-0.88461971282959,0.258049875497818,0.388480722904205,0.130430838781053,1.81154812353025,2.44613669659671
gui_gref_el_mf_sol2_12,nonpercussive,string,gui,high,not sustained,469.450714111328,2045.10791015625,262.826721191406,176.411987304688,0.476388871669769,0.008268320001662,0.00013961881632,0.03448573872447,0.027220472693443,0.001467299181968,5.4720926527807E-06,0.004151185508817,10795380,3559723.75,299237.1875,2810746,0.076923079788685,0.019668817520142,0,0.010905095376074,0.512494683265686,0.342734396457672,0.088999539613724,0.082742661237717,0.459908306598663,0.283012360334396,0.047997877001762,0.128426492214203,0.6137335896492,0.44737696647644,0.084852121770382,0.187911137938499,0.310099452733994,1.6292062997818,-1.04685306549072,0.206145122647285,0.295918375253677,0.089773247224509,1.60747831380011,1.97659810768746
gui_gref_e_mf_sol3_12,nonpercussive,string,gui,high,not sustained,706.130615234375,2679.47509765625,231.813812255859,412.707733154297,0.261317551136017,0.004603556357324,0.000121095610666,0.016873529180884,0.014512937515974,0.001068518147804,2.6411220233058E-07,0.002443327801302,25651988,4586440.5,535796.4375,3031517.25,0.124615386128426,0.0194106195122,0,0.013024941086769,0.668162286281586,0.373983502388,0.064980864524841,0.092019356787205,0.491207093000412,0.265878140926361,0.067415326833725,0.13841025531292,0.72339403629303,0.46573993563652,0.090719401836395,0.160841733217239,0.314384549856186,1.69689345359802,-1.18294012546539,0.212222218513489,0.277845799922943,0.065623573280052,1.6301299193275,1.89603259862677
gui_gref_e_mf_sol4_12,nonpercussive,string,gui,high,not sustained,1147.88647460938,2815.41845703125,171.608779907227,436.078338623047,0.256326496601105,0.007215751335025,0.000249329750659,0.025643818080425,0.017311614006758,0.001231642905623,2.56529619946377E-05,0.002527365926653,18692784,4635142.5,737718.125,2788713.75,0.121538460254669,0.033291716128588,0.000769230769947,0.01743427477777,0.565913021564484,0.320294857025146,0.09172734618187,0.09723299741745,0.530355036258698,0.271960198879242,0.069581553339958,0.159734189510345,0.611727178096771,0.400106102228165,0.094054125249386,0.174834862351418,0.373702377080917,1.65437638759613,-1.3350213766098,0.191179141402245,0.237414970993996,0.0462358262889,1.55302748355631,1.72748772858271
gui_gref_g_mf_sol2_12,nonpercussive,string,gui,high,not sustained,406.032775878906,1068.89196777344,300.285858154297,70.007568359375,0.136245429515839,0.003705399343744,0.000109448956209,0.01090747769922,0.012208266183734,0.002005813177675,1.67569453424221E-07,0.00273391767405,28065366,1356691.75,162283.203125,2080973.125,0.054615385830402,0.017523095011711,0.000769230769947,0.003590502077714,0.63921058177948,0.519734382629395,0.107048280537128,0.086638070642948,0.588545739650726,0.494882076978684,0.050694685429335,0.105922490358353,0.732420980930328,0.633155703544617,0.090832285583019,0.183786243200302,0.334151953458786,1.99689340591431,-0.901870489120483,0.193151921033859,0.3185034096241,0.125351492967222,1.5600981470464,2.08210875168687
